date,treasury_10y_yield,treasury_2y_yield,federal_funds_rate
1987-11-06,8.84,7.62,6.43
1987-10-30,8.9,7.6,7.03
1987-10-23,9.36,8.09,7.37
1987-10-16,10.11,9.13,7.59
1987-10-09,9.78,8.83,7.43
1987-10-02,9.61,8.58,7.56
1987-09-25,9.45,8.37,7.26
1987-09-18,9.43,8.31,7.21
1987-09-11,9.43,8.39,6.95
1987-09-04,9.18,8.11,6.85
1987-08-28,8.85,7.89,6.76
1987-08-21,8.71,7.73,6.74
1987-08-14,8.68,7.67,6.58
1987-08-07,8.75,7.69,6.75
1987-07-31,8.62,7.62,6.63
1987-07-24,8.52,7.46,6.57
1987-07-17,8.38,7.35,6.52
1987-07-10,8.32,7.36,6.64
1987-07-03,8.35,7.45,6.61
1987-06-26,8.28,7.49,6.79
1987-06-19,8.27,7.45,6.75
1987-06-12,8.5,7.65,6.7
1987-06-05,8.58,7.74,6.65
1987-05-29,8.55,7.78,6.8
1987-05-22,8.84,8,6.77
1987-05-15,8.61,7.73,6.75
1987-05-08,8.49,7.6,7.3
1987-05-01,8.32,7.44,6.5
1987-04-24,8.3,7.24,6.26
1987-04-17,8.12,7.05,6.41
1987-04-10,7.71,6.69,6.13
1987-04-03,7.56,6.61,6.21
1987-03-27,7.27,6.45,6.14
1987-03-20,7.21,6.4,6.08
1987-03-13,7.22,6.43,6.12
1987-03-06,7.18,6.36,6.06
1987-02-27,7.2,6.35,5.95
1987-02-20,7.28,6.39,6.21
1987-02-13,7.31,6.48,6.14
1987-02-06,7.22,6.37,6.22
1987-01-30,7.15,6.26,6.13
1987-01-23,7.03,6.18,6.01
1987-01-16,7.07,6.22,6.01
1987-01-09,7.05,6.22,7.62
1987-01-02,7.2,6.36,9.2
1986-12-26,7.08,6.3,6.31
1986-12-19,7.12,6.3,6.3
1986-12-12,7.09,6.22,5.97
1986-12-05,7.09,6.21,6.25
1986-11-28,7.14,6.21,6
1986-11-21,7.21,6.26,6.13
1986-11-14,7.34,6.37,5.98
1986-11-07,7.31,6.27,6.02
1986-10-31,7.39,6.3,5.86
1986-10-24,7.52,6.37,5.91
1986-10-17,7.53,6.3,5.83
1986-10-10,7.31,6.14,5.75
1986-10-03,7.43,6.35,6.08
1986-09-26,7.52,6.42,5.81
1986-09-19,7.56,6.43,5.88
1986-09-12,7.46,6.35,5.82
1986-09-05,7.18,6.12,5.83
1986-08-29,7.02,6.05,5.87
1986-08-22,7.04,6.21,6.38
1986-08-15,7.19,6.42,6.31
1986-08-08,7.39,6.58,6.36
1986-08-01,7.41,6.65,6.32
1986-07-25,7.26,6.63,6.42
1986-07-18,7.19,6.58,6.51
1986-07-11,7.33,6.72,6.87
1986-07-04,7.35,6.78,7.02
1986-06-27,7.45,6.93,6.86
1986-06-20,7.62,7.07,6.87
1986-06-13,7.98,7.32,6.89
1986-06-06,8.23,7.49,6.95
1986-05-30,7.88,7.26,6.85
1986-05-23,7.9,7.22,6.87
1986-05-16,7.75,7.09,6.82
1986-05-09,7.44,6.82,6.87
1986-05-02,7.44,6.85,6.88
1986-04-25,7.35,6.7,6.92
1986-04-18,7.1,6.47,6.97
1986-04-11,7.31,6.67,7.05
1986-04-04,7.39,6.9,7.39
1986-03-28,7.63,7.1,7.25
1986-03-21,7.8,7.2,7.47
1986-03-14,7.72,7.17,7.52
1986-03-07,8.01,7.43,7.89
1986-02-28,8.29,7.81,7.82
1986-02-21,8.62,8,7.84
1986-02-14,8.87,8.05,7.85
1986-02-07,9.02,8.01,7.97
1986-01-31,9.09,8.03,7.83
1986-01-24,9.24,8.17,7.87
1986-01-17,9.35,8.27,7.94
1986-01-10,9.16,8.15,8.2
1986-01-03,9.03,8.01,9.55
1985-12-27,9.05,8,8.02
1985-12-20,9.09,8,8.05
1985-12-13,9.31,8.12,8.03
1985-12-06,9.65,8.5,8.49
1985-11-29,9.65,8.51,7.71
1985-11-22,9.68,8.52,8.13
1985-11-15,9.82,8.6,7.95
1985-11-08,9.92,8.66,8.3
1985-11-01,10.07,8.76,7.89
1985-10-25,10.16,8.85,8.14
1985-10-18,10.23,8.87,8.03
1985-10-11,10.37,8.96,7.84
1985-10-04,10.32,8.85,8.12
1985-09-27,10.3,8.79,7.96
1985-09-20,10.4,9.05,7.85
1985-09-13,10.48,9.11,7.8
1985-09-06,10.29,8.97,7.88
1985-08-30,10.17,8.86,7.78
1985-08-23,10.16,8.85,8.06
1985-08-16,10.37,8.95,7.88
1985-08-09,10.53,9.06,7.92
1985-08-02,10.61,9.05,7.64
1985-07-26,10.51,8.97,7.88
1985-07-19,10.23,8.73,7.77
1985-07-12,10.12,8.62,8.07
1985-07-05,10.14,8.59,8.06
1985-06-28,10.43,8.85,7.46
1985-06-21,10.08,8.55,7.13
1985-06-14,10.12,8.72,7.62
1985-06-07,10,8.63,7.75
1985-05-31,10.39,9.01,7.6
1985-05-24,10.6,9.13,7.91
1985-05-17,10.89,9.44,8.14
1985-05-10,11.17,9.68,8.19
1985-05-03,11.33,9.85,8.35
1985-04-26,11.27,9.84,7.69
1985-04-19,11.24,9.88,8.46
1985-04-12,11.57,10.29,8.45
1985-04-05,11.71,10.49,8.68
1985-03-29,11.77,10.59,8.38
1985-03-22,11.92,10.81,8.75
1985-03-15,11.85,10.73,8.52
1985-03-08,11.87,10.73,8.63
1985-03-01,11.83,10.53,8.4
1985-02-22,11.57,10.19,8.57
1985-02-15,11.37,10.02,8.44
1985-02-08,11.37,10.03,8.59
1985-02-01,11.15,9.86,8.45
1985-01-25,11.16,9.79,8.19
1985-01-18,11.49,9.99,8.23
1985-01-11,11.5,10.01,8.27
1985-01-04,11.64,10.05,8.75
1984-12-28,11.42,9.94,7.95
1984-12-21,11.37,9.94,7.99
1984-12-14,11.61,10.36,8.7
1984-12-07,11.58,10.47,8.83
1984-11-30,11.39,10.37,9
1984-11-23,11.44,10.49,9.47
1984-11-16,11.75,10.82,9.55
1984-11-09,11.71,10.84,9.87
1984-11-02,11.76,11.08,9.73
1984-10-26,11.85,11.22,9.45
1984-10-19,12.19,11.63,10.22
1984-10-12,12.33,11.82,10.01
1984-10-05,12.51,12.03,11.2
1984-09-28,12.46,12.06,10.73
1984-09-21,12.35,12.04,11.46
1984-09-14,12.51,12.24,11.52
1984-09-07,12.83,12.55,11.68
1984-08-31,12.82,12.55,11.5
1984-08-24,12.66,12.43,11.77
1984-08-17,12.71,12.4,11.63
1984-08-10,12.67,12.38,11.59
1984-08-03,12.82,12.5,11.53
1984-07-27,13.11,12.7,11.19
1984-07-20,13.32,12.88,11.21
1984-07-13,13.46,12.97,11.25
1984-07-06,13.8,13.12,10.91
1984-06-29,13.79,13.15,11.27
1984-06-22,13.55,12.98,11.49
1984-06-15,13.43,12.83,10.85
1984-06-08,13.47,12.71,10.72
1984-06-01,13.86,12.94,10.3
1984-05-25,13.59,12.65,9.75
1984-05-18,13.49,12.5,10.52
1984-05-11,13.23,12.33,10.46
1984-05-04,12.89,11.96,10.7
1984-04-27,12.74,11.79,9.98
1984-04-20,12.66,11.69,10.37
1984-04-13,12.49,11.55,10.13
1984-04-06,12.61,11.67,10.41
1984-03-30,12.46,11.54,9.97
1984-03-23,12.46,11.52,10.04
1984-03-16,12.29,11.24,9.79
1984-03-09,12.18,11.09,9.74
1984-03-02,12.05,11,9.62
1984-02-24,11.97,10.94,9.6
1984-02-17,11.85,10.78,9.53
1984-02-10,11.74,10.67,9.58
1984-02-03,11.63,10.56,9.41
1984-01-27,11.63,10.63,9.53
1984-01-20,11.59,10.56,9.54
1984-01-13,11.71,10.66,9.53
1984-01-06,11.79,10.77,10.06
1983-12-30,11.79,10.85,8.96
1983-12-23,11.82,10.86,9.62
1983-12-16,11.93,10.89,9.52
1983-12-09,11.82,10.79,9.49
1983-12-02,11.64,10.69,9.27
1983-11-25,11.59,10.63,9.26
1983-11-18,11.7,10.66,9.42
1983-11-11,11.8,10.72,9.36
1983-11-04,11.75,10.65,9.4
1983-10-28,11.68,10.63,9.36
1983-10-21,11.47,10.51,9.36
1983-10-14,11.6,10.67,9.46
1983-10-07,11.38,10.49,10
1983-09-30,11.46,10.56,9.04
1983-09-23,11.59,10.7,9.48
1983-09-16,11.69,10.83,9.54
1983-09-09,11.76,10.95,9.53
1983-09-02,11.94,11.14,9.44
1983-08-26,11.58,10.8,9.41
1983-08-19,11.71,10.93,9.67
1983-08-12,12.1,11.34,9.66
1983-08-05,11.95,11.18,9.59
1983-07-29,11.57,10.83,9.46
1983-07-22,11.36,10.7,9.43
1983-07-15,11.4,10.71,9.21
1983-07-08,11.25,10.57,9.39
1983-07-01,11.01,10.29,8.9
1983-06-24,10.87,10.32,9.14
1983-06-17,10.71,10.08,8.84
1983-06-10,10.87,10.16,8.84
1983-06-03,10.79,9.99,8.77
1983-05-27,10.59,9.81,8.72
1983-05-20,10.45,9.54,8.59
1983-05-13,10.21,9.27,8.48
1983-05-06,10.19,9.23,8.8
1983-04-29,10.33,9.44,8.58
1983-04-22,10.38,9.57,8.7
1983-04-15,10.37,9.54,8.76
1983-04-08,10.52,9.72,9.43
1983-04-01,10.62,9.89,8.88
1983-03-25,10.6,9.83,8.75
1983-03-18,10.52,9.66,8.57
1983-03-11,10.51,9.61,8.59
1983-03-04,10.25,9.27,8.44
1983-02-25,10.4,9.38,8.47
1983-02-18,10.75,9.69,8.62
1983-02-11,10.92,9.79,8.5
1983-02-04,10.88,9.68,8.53
1983-01-28,10.68,9.49,8.44
1983-01-21,10.41,9.25,8.49
1983-01-14,10.32,9.17,8.42
1983-01-07,10.36,9.35,10.21
1982-12-31,10.43,9.52,8.79
1982-12-24,10.56,9.57,8.69
1982-12-17,10.56,9.62,8.86
1982-12-10,10.56,9.8,8.84
1982-12-03,10.69,9.89,8.69
1982-11-26,10.52,9.76,8.91
1982-11-19,10.56,9.86,9.61
1982-11-12,10.53,9.8,9.45
1982-11-05,10.48,9.68,9.43
1982-10-29,10.87,9.93,9.44
1982-10-22,10.67,9.8,9.53
1982-10-15,10.57,9.8,9.6
1982-10-08,11.33,10.95,10.77
1982-10-01,11.78,11.37,10.12
1982-09-24,12.14,11.68,10.31
1982-09-17,12.58,12.01,10.27
1982-09-10,12.58,11.9,10.14
1982-09-03,12.69,11.93,10.15
1982-08-27,12.51,11.67,9.04
1982-08-20,12.6,11.75,10.11
1982-08-13,13.57,13.01,10.9
1982-08-06,13.63,12.99,11.15
1982-07-30,13.85,13.34,11.02
1982-07-23,13.58,13.2,12.14
1982-07-16,13.93,14,13.18
1982-07-09,14.3,14.43,14.47
1982-07-02,14.54,14.75,14.81
1982-06-25,14.7,14.94,14.17
1982-06-18,14.36,14.6,14.24
1982-06-11,13.97,14.06,13.6
1982-06-04,13.92,13.95,13.43
1982-05-28,13.66,13.63,13.7
1982-05-21,13.57,13.71,14.67
1982-05-14,13.53,13.81,14.97
1982-05-07,13.73,13.96,15.53
1982-04-30,13.78,13.99,14.72
1982-04-23,13.69,14.09,15.01
1982-04-16,13.85,14.27,14.68
1982-04-09,14.13,14.4,15.15
1982-04-02,14.15,14.51,14.99
1982-03-26,13.86,14.18,14.48
1982-03-19,13.9,14.3,14.89
1982-03-12,13.8,14.04,14.35
1982-03-05,13.7,14.03,14.07
1982-02-26,13.92,14.32,13.86
1982-02-19,14.39,15.04,15.61
1982-02-12,14.84,15.1,15.19
1982-02-05,14.63,14.93,14.77
1982-01-29,14.42,14.55,13.98
1982-01-22,14.73,14.93,12.96
1982-01-15,14.76,14.67,12.42
1982-01-08,14.47,14.12,12.98
1982-01-01,14.07,13.88,12.54
1981-12-25,14,13.86,12.43
1981-12-18,13.58,13.22,12.26
1981-12-11,13.66,12.92,12.04
1981-12-04,13.32,12.61,12.48
1981-11-27,13.12,12.22,12.42
1981-11-20,13.09,12.4,13.17
1981-11-13,13.29,13,14.01
1981-11-06,14.22,14.15,14.79
1981-10-30,15.25,15.24,14.87
1981-10-23,15.21,15.5,15.32
1981-10-16,14.88,15.34,14.93
1981-10-09,15.02,15.69,15.46
1981-10-02,15.68,16.55,15
1981-09-25,15.21,16.13,15.33
1981-09-18,15.05,16.14,16.09
1981-09-11,15.37,16.77,16.5
1981-09-04,15.44,16.82,16.89
1981-08-28,15.32,16.71,17.41
1981-08-21,14.83,16.28,18.19
1981-08-14,14.61,15.97,18.29
1981-08-07,14.9,16.09,18.25
1981-07-31,14.59,15.77,18.54
1981-07-24,14.56,15.88,19.05
1981-07-17,14.08,15.02,18.76
1981-07-10,14,14.93,19.93
1981-07-03,13.88,14.74,18.84
1981-06-26,13.61,14.61,19.2
1981-06-19,13.29,14.36,19.1
1981-06-12,13.34,14.37,19.33
1981-06-05,13.53,14.65,18.4
1981-05-29,13.61,14.86,18.71
1981-05-22,13.92,15.5,18.89
1981-05-15,14.32,15.79,18.21
1981-05-08,14.46,15.7,18.91
1981-05-01,14.01,14.72,16.28
1981-04-24,13.78,14.45,15.55
1981-04-17,13.7,14.1,15.33
1981-04-10,13.56,13.9,15.43
1981-04-03,13.23,13.33,14.93
1981-03-27,13.27,13.54,13.48
1981-03-20,12.71,12.99,14.13
1981-03-13,13.04,13.7,15.53
1981-03-06,13.43,14.16,15.73
1981-02-27,13.32,14.02,14.96
1981-02-20,13.16,13.81,15.81
1981-02-13,13.39,14.22,16.51
1981-02-06,12.95,13.67,17.19
1981-01-30,12.74,13.39,18.12
1981-01-23,12.72,13.69,19.35
1981-01-16,12.53,13.15,19.64
1981-01-09,12.31,12.85,20.06
1981-01-02,12.36,13,18.45
1980-12-26,12.29,13.15,19.44
1980-12-19,13.18,14.77,19.83
1980-12-12,13.19,14.66,18.82
1980-12-05,12.91,14.21,17.72
1980-11-28,12.72,14,17.43
1980-11-21,12.69,13.58,15.22
1980-11-14,12.63,13.07,14.65
1980-11-07,12.69,13.39,13.99
1980-10-31,12.37,12.95,13.17
1980-10-24,11.76,12.2,12.55
1980-10-17,11.44,11.71,12.64
1980-10-10,11.42,11.56,12.59
1980-10-03,11.79,12.02,12.38
1980-09-26,11.82,12.1,10.85
1980-09-19,11.51,11.74,10.64
1980-09-12,11.26,11.19,10.22
1980-09-05,11.19,10.86,10.47
1980-08-29,11.59,11.47,10.03
1980-08-22,11.2,11.03,9.35
1980-08-15,10.93,10.06,8.85
1980-08-08,10.75,9.7,9.6
1980-08-01,10.59,9.47,8.98
1980-07-25,10.2,9.02,8.68
1980-07-18,10.2,8.95,8.98
1980-07-11,10.18,8.89,9.26
1980-07-04,10.11,8.94,9.41
1980-06-27,9.8,8.74,9.08
1980-06-20,9.51,8.49,8.99
1980-06-13,9.66,8.58,9.68
1980-06-06,10.07,9.06,10.74
1980-05-30,10.14,9.07,9.46
1980-05-23,10.16,9.21,10.71
1980-05-16,10.25,9.48,10.85
1980-05-09,10.08,9.6,12.96
1980-05-02,10.57,10.61,15.12
1980-04-25,10.9,11.44,17.56
1980-04-18,11.25,12.28,18.35
1980-04-11,12.05,13.61,19.04
1980-04-04,12.62,14.56,19.39
1980-03-28,13,15.16,17.78
1980-03-21,12.54,14.72,16.24
1980-03-14,12.54,14.67,16.45
1980-03-07,12.94,15.03,16.17
1980-02-29,13.2,14.7,14.62
1980-02-22,12.99,14.26,14.87
1980-02-15,12.01,12.71,13.64
1980-02-08,11.71,12.31,12.8
1980-02-01,11.19,11.86,13.54
1980-01-25,10.95,11.63,13.77
1980-01-18,10.71,11.37,13.91
1980-01-11,10.59,11.27,13.94
1980-01-04,10.52,11.39,14.04
1979-12-28,10.45,11.39,13.49
1979-12-21,10.37,11.39,13.9
1979-12-14,10.45,11.57,13.79
1979-12-07,10.29,11.24,13.77
1979-11-30,10.34,11.27,12.46
1979-11-23,10.71,12.02,13.1
1979-11-16,10.69,11.78,13.3
1979-11-09,10.87,12.15,13.77
1979-11-02,10.78,12.13,15.61
1979-10-26,10.89,12.44,15.14
1979-10-19,10.37,11.62,13.22
1979-10-12,10.09,11.24,12
1979-10-05,9.53,10.23,11.91
1979-09-28,9.38,10.05,11.61
1979-09-21,9.32,10.08,11.37
1979-09-14,9.31,10.06,11.3
1979-09-07,9.33,10.04,11.02
1979-08-31,9.17,9.75,11.16
1979-08-24,9.06,9.57,11.04
1979-08-17,9,9.38,10.8
1979-08-10,8.94,9.27,10.67
1979-08-03,8.97,9.27,10.75
1979-07-27,9.01,9.32,10.63
1979-07-20,9.01,9.13,10.35
1979-07-13,8.93,9.03,10.28
1979-07-06,8.79,8.97,10.42
1979-06-29,8.83,9,10.32
1979-06-22,8.95,9.25,10.28
1979-06-15,8.88,9.15,10.23
1979-06-08,8.97,9.41,10.23
1979-06-01,9.04,9.54,10.28
1979-05-25,9.11,9.63,10.17
1979-05-18,9.28,9.8,10.25
1979-05-11,9.37,9.91,10.25
1979-05-04,9.36,9.92,10.22
1979-04-27,9.25,9.8,10.09
1979-04-20,9.17,9.75,9.96
1979-04-13,9.18,9.83,9.93
1979-04-06,9.09,9.72,9.95
1979-03-30,9.09,9.72,10
1979-03-23,9.12,9.79,10.09
1979-03-16,9.12,9.82,10.21
1979-03-09,9.11,9.8,10.07
1979-03-02,9.18,9.89,10.06
1979-02-23,9.17,9.81,9.97
1979-02-16,9.12,9.68,10.15
1979-02-09,9.05,9.64,10.06
1979-02-02,8.94,9.62,10.12
1979-01-26,9.04,9.8,10.05
1979-01-19,9.16,9.91,10.05
1979-01-12,9.15,9.92,9.97
1979-01-05,9.14,9.93,10.59
1978-12-29,9.14,9.98,10.25
1978-12-22,9.14,9.93,9.75
1978-12-15,8.95,9.54,9.79
1978-12-08,8.86,9.5,9.87
1978-12-01,8.85,9.56,9.85
1978-11-24,8.78,9.35,9.68
1978-11-17,8.77,9.31,9.68
1978-11-10,8.86,9.48,9.77
1978-11-03,8.82,9.44,9.29
1978-10-27,8.69,8.96,9.24
1978-10-20,8.62,8.8,8.78
1978-10-13,8.54,8.7,8.71
1978-10-06,8.58,8.69,8.85
1978-09-29,8.55,8.73,8.62
1978-09-22,8.46,8.62,8.36
1978-09-15,8.31,8.45,8.33
1978-09-08,8.34,8.45,8.3
1978-09-01,8.38,8.46,8.28
1978-08-25,8.37,8.44,8.14
1978-08-18,8.48,8.41,7.87
1978-08-11,8.39,8.21,7.83
1978-08-04,8.46,8.37,7.89
1978-07-28,8.63,8.51,7.88
1978-07-21,8.65,8.5,7.94
1978-07-14,8.68,8.49,7.72
1978-07-07,8.62,8.45,7.72
1978-06-30,8.59,8.45,7.78
1978-06-23,8.49,8.36,7.53
1978-06-16,8.41,8.13,7.49
1978-06-09,8.38,8.07,7.47
1978-06-02,8.41,8.11,7.36
1978-05-26,8.39,8.09,7.43
1978-05-19,8.35,8.01,7.34
1978-05-12,8.35,7.99,7.32
1978-05-05,8.28,7.92,7.27
1978-04-28,8.21,7.87,7
1978-04-21,8.12,7.72,6.78
1978-04-14,8.15,7.68,6.74
1978-04-07,8.14,7.71,6.86
1978-03-31,8.12,7.65,6.82
1978-03-24,7.98,7.54,6.77
1978-03-17,8,7.54,6.77
1978-03-10,8.03,7.56,6.76
1978-03-03,8.04,7.59,6.8
1978-02-24,8.08,7.64,6.78
1978-02-17,8.08,7.61,6.76
1978-02-10,8,7.52,6.75
1978-02-03,7.96,7.47,6.8
1978-01-27,7.98,7.52,6.72
1978-01-20,7.98,7.55,6.78
1978-01-13,8.01,7.59,6.58
1978-01-06,7.83,7.26,6.69
1977-12-30,7.79,7.25,6.65
1977-12-23,7.73,7.19,6.54
1977-12-16,7.66,7.15,6.49
1977-12-09,7.63,7.15,6.51
1977-12-02,7.56,7.12,6.55
1977-11-25,7.54,7.12,6.51
1977-11-18,7.55,7.11,6.42
1977-11-11,7.6,7.16,6.58
1977-11-04,7.65,7.22,6.5
1977-10-28,7.57,7.17,6.49
1977-10-21,7.55,7.22,6.5
1977-10-14,7.54,7.14,6.41
1977-10-07,7.43,6.88,6.41
1977-09-30,7.4,6.82,6.35
1977-09-23,7.36,6.76,6.1
1977-09-16,7.35,6.73,6.05
1977-09-09,7.29,6.59,5.97
1977-09-02,7.27,6.56,6.02
1977-08-26,7.34,6.64,5.99
1977-08-19,7.44,6.7,5.94
1977-08-12,7.45,6.6,5.7
1977-08-05,7.43,6.52,5.8
1977-07-29,7.35,6.38,5.45
1977-07-22,7.32,6.34,5.35
1977-07-15,7.31,6.22,5.33
1977-07-08,7.33,6.15,5.35
1977-07-01,7.22,6.07,5.43
1977-06-24,7.25,6.11,5.43
1977-06-17,7.24,6.11,5.37
1977-06-10,7.35,6.16,5.31
1977-06-03,7.38,6.2,5.36
1977-05-27,7.41,6.27,5.45
1977-05-20,7.46,6.31,5.34
1977-05-13,7.5,6.29,5.31
1977-05-06,7.46,6.16,5.15
1977-04-29,7.4,6.04,4.82
1977-04-22,7.31,5.91,4.71
1977-04-15,7.32,5.88,4.65
1977-04-08,7.45,6.03,4.6
1977-04-01,7.45,6.05,4.74
1977-03-25,7.45,6.06,4.77
1977-03-18,7.45,6.08,4.62
1977-03-11,7.49,6.12,4.63
1977-03-04,7.46,6.11,4.68
1977-02-25,7.47,6.14,4.74
1977-02-18,7.35,6.03,4.7
1977-02-11,7.35,6.03,4.66
1977-02-04,7.4,6.18,4.6
1977-01-28,7.36,6.15,4.72
1977-01-21,7.29,6.01,4.65
1977-01-14,7.24,5.85,4.55
1977-01-07,6.92,5.53,4.47
1976-12-31,6.83,5.37,4.66
1976-12-24,6.85,5.35,4.63
1976-12-17,6.89,5.4,4.68
1976-12-10,6.88,5.39,4.67
1976-12-03,6.96,5.39,4.78
1976-11-26,7.12,5.53,4.9
1976-11-19,7.33,5.84,5.02
1976-11-12,7.45,6.04,4.98
1976-11-05,7.4,6.02,5.06
1976-10-29,7.46,6.04,4.99
1976-10-22,7.38,5.92,4.97
1976-10-15,7.34,5.8,5.02
1976-10-08,7.44,6.09,5.17
1976-10-01,7.55,6.34,5.32
1976-09-24,7.54,6.36,5.21
1976-09-17,7.6,6.42,5.22
1976-09-10,7.65,6.46,5.25
1976-09-03,7.67,6.53,5.28
1976-08-27,7.71,6.58,5.28
1976-08-20,7.75,6.6,5.29
1976-08-13,7.82,6.65,5.25
1976-08-06,7.83,6.73,5.36
1976-07-30,7.86,6.78,5.28
1976-07-23,7.86,6.9,5.3
1976-07-16,7.78,6.76,5.27
1976-07-09,7.82,6.91,5.37
1976-07-02,7.86,7.01,5.58
1976-06-25,7.81,7,5.48
1976-06-18,7.84,7.03,5.47
1976-06-11,7.88,7.06,5.44
1976-06-04,7.92,7.21,5.54
1976-05-28,7.96,,5.5
1976-05-21,7.95,,5.28
1976-05-14,7.93,,5.02
1976-05-07,7.74,,5.03
1976-04-30,7.62,,4.93
1976-04-23,7.52,,4.78
1976-04-16,7.49,,4.77
1976-04-09,7.57,,4.73
1976-04-02,7.66,,4.84
1976-03-26,7.66,,4.79
1976-03-19,7.75,,4.77
1976-03-12,7.76,,4.86
1976-03-05,7.83,,4.95
1976-02-27,7.71,,4.8
1976-02-20,7.79,,4.7
1976-02-13,7.85,,4.73
1976-02-06,7.84,,4.82
1976-01-30,7.81,,4.8
1976-01-23,7.77,,4.81
1976-01-16,7.7,,4.76
1976-01-09,7.69,,5.12
1976-01-02,7.75,,5.18
1975-12-26,7.83,,5.18
1975-12-19,7.97,,5.17
1975-12-12,8.19,,5.26
1975-12-05,8.12,,5.25
1975-11-28,8.15,,5.28
1975-11-21,8.14,,5.24
1975-11-14,7.97,,5.24
1975-11-07,7.93,,5.17
1975-10-31,7.96,,5.65
1975-10-24,8.03,,5.73
1975-10-17,8.13,,5.82
1975-10-10,8.26,,6.06
1975-10-03,8.44,,6.36
1975-09-26,8.37,,6.29
1975-09-19,8.52,,6.28
1975-09-12,8.47,,6.15
1975-09-05,8.3,,6.06
1975-08-29,8.35,,6.23
1975-08-22,8.45,,6.15
1975-08-15,8.42,,6.08
1975-08-08,8.4,,6.09
1975-08-01,8.17,,6.25
1975-07-25,8.09,,6.14
1975-07-18,8.02,,5.93
1975-07-11,8.02,,6.06
1975-07-04,8.01,,6.31
1975-06-27,7.95,,5.72
1975-06-20,7.79,,5.31
1975-06-13,7.71,,5.15
1975-06-06,7.97,,5.24
1975-05-30,8.06,,5.14
1975-05-23,8,,5.13
1975-05-16,8.04,,5.2
1975-05-09,8.09,,5.42
1975-05-02,8.28,,5.71
1975-04-25,8.28,,5.54
1975-04-18,8.19,,5.44
1975-04-11,8.21,,5.28
1975-04-04,8.12,,5.59
1975-03-28,8.05,,5.53
1975-03-21,7.8,,5.38
1975-03-14,7.57,,5.44
1975-03-07,7.5,,5.88
1975-02-28,7.44,,6.15
1975-02-21,7.27,,6.29
1975-02-14,7.42,,6.28
1975-02-07,7.42,,6.46
1975-01-31,7.58,,6.99
1975-01-24,7.57,,7.17
1975-01-17,7.51,,7.22
1975-01-10,7.38,,7.7
1975-01-03,7.41,,7.35
1974-12-27,7.4,,8.45
1974-12-20,7.28,,8.72
1974-12-13,7.39,,8.86
1974-12-06,7.67,,9.02
1974-11-29,7.63,,9.46
1974-11-22,7.61,,9.34
1974-11-15,7.72,,9.37
1974-11-08,7.76,,9.63
1974-11-01,7.82,,9.72
1974-10-25,7.84,,9.81
1974-10-18,7.87,,10.11
1974-10-11,7.94,,10.43
1974-10-04,7.99,,11.04
1974-09-27,7.94,,11.12
1974-09-20,8.07,,11.41
1974-09-13,8.07,,11.48
1974-09-06,8.11,,11.64
1974-08-30,8.14,,11.84
1974-08-23,8.05,,12.23
1974-08-16,8.04,,12.02
1974-08-09,7.99,,12.09
1974-08-02,7.9,,12.29
1974-07-26,7.77,,12.6
1974-07-19,7.88,,13.04
1974-07-12,7.82,,13.34
1974-07-05,7.68,,13.55
1974-06-28,7.62,,11.97
1974-06-21,7.53,,11.85
1974-06-14,7.49,,11.6
1974-06-07,7.51,,11.45
1974-05-31,7.51,,11.54
1974-05-24,7.54,,10.95
1974-05-17,7.55,,11.46
1974-05-10,7.66,,11.29
1974-05-03,7.63,,11.17
1974-04-26,7.58,,10.78
1974-04-19,7.46,,10.36
1974-04-12,7.48,,10.02
1974-04-05,7.47,,9.93
1974-03-29,7.38,,9.61
1974-03-22,7.28,,9.33
1974-03-15,7.12,,9.03
1974-03-08,7.08,,8.98
1974-03-01,7.01,,8.81
1974-02-22,6.96,,9.07
1974-02-15,6.93,,8.93
1974-02-08,6.94,,9.13
1974-02-01,7.01,,9.47
1974-01-25,7.01,,9.6
1974-01-18,6.99,,9.77
1974-01-11,6.98,,9.76
1974-01-04,6.94,,9.87
1973-12-28,6.87,,9.52
1973-12-21,6.71,,10.18
1973-12-14,6.69,,10.04
1973-12-07,6.72,,10.17
1973-11-30,6.7,,10.09
1973-11-23,6.71,,10.23
1973-11-16,6.76,,10.03
1973-11-09,6.76,,9.71
1973-11-02,6.72,,9.9
1973-10-26,6.75,,9.98
1973-10-19,6.8,,10.07
1973-10-12,6.77,,9.87
1973-10-05,6.89,,10.72
1973-09-28,6.95,,10.84
1973-09-21,7.09,,10.8
1973-09-14,7.19,,10.74
1973-09-07,7.13,,10.79
1973-08-31,7.26,,10.79
1973-08-24,7.33,,10.52
1973-08-17,7.41,,10.39
1973-08-10,7.54,,10.39
1973-08-03,7.48,,10.57
1973-07-27,7.24,,10.58
1973-07-20,7.09,,10.22
1973-07-13,7.05,,9.52
1973-07-06,7.02,,10.22
1973-06-29,6.93,,8.59
1973-06-22,6.89,,8.56
1973-06-15,6.86,,8.17
1973-06-08,6.92,,8.43
1973-06-01,6.94,,7.95
1973-05-25,6.91,,8.06
1973-05-18,6.85,,7.82
1973-05-11,6.81,,7.6
1973-05-04,6.75,,7.43
1973-04-27,6.68,,7.14
1973-04-20,6.64,,7.24
1973-04-13,6.64,,6.84
1973-04-06,6.7,,7.18
1973-03-30,6.71,,7.11
1973-03-23,6.76,,6.96
