ticker,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
AACI,2022-06-30,USD,185052,213015,27963,NA,-1550094,27963,NA,1522131,NA,213015,213015,NA,213015,NA,NA,NA,-1337079,NA,NA,-1550094,-1550094,-1550094,-1550094,-1337079
AADI,2022-09-30,USD,-6321000,4187000,10508000,593000,-15036000,9915000,8773000,18688000,620000,-58000,620000,58000,4245000,562000,NA,0,-14500000,0,58000,-14474000,-14573000,-14442000,-14442000,-14500000
AAL,2022-09-30,USD,3689000000,12963000000,9274000000,4904000000,930000000,495000000,NA,2348000000,70000000,-499000000,70000000,499000000,13462000000,157000000,NA,491000000,658000000,175000000,499000000,483000000,511000000,1157000000,1648000000,483000000
AAME,2022-09-30,USD,-14917000,46343000,61260000,NA,-18213000,281000,NA,281000,NA,-523000,NA,523000,46380000,NA,NA,218000,-949000,-265000,523000,-684000,-11024000,-426000,-208000,-684000
AAOI,2022-09-30,USD,9749000,54474000,61183000,46944000,-13496000,14039000,9206000,23245000,31000,-1621000,31000,1621000,56095000,-541000,5500000,5703000,-15627000,NA,1621000,-15627000,-23841000,-13496000,-7793000,-15627000
AAON,2022-09-30,USD,65591000,242101000,210944000,177014000,36700000,28891000,NA,29793000,NA,-954000,-943000,11000,242605000,54000,NA,902000,35800000,8327000,11000,27473000,27473000,36700000,36713000,27473000
AAPL,2022-09-30,USD,38095000000,89319000000,58491000000,52051000000,24894000000,6440000000,6761000000,13201000000,753000000,-827000000,74000000,827000000,90146000000,-163000000,NA,2865000000,24657000000,3936000000,827000000,20721000000,18909000000,25484000000,28349000000,20721000000
AAT,2022-09-30,USD,71108000,111023000,39915000,35468000,31003000,8865000,NA,41196000,NA,-14454000,14454000,14454000,11379000,-180000,NA,31729000,13127000,200000,14454000,12772000,16024000,31003000,59310000,12927000
AATC,2022-09-30,USD,2597000,3155000,558000,558000,796000,1220000,581000,1801000,8000,-18000,NA,18000,-20000,10000,24000,198000,796000,152000,18000,644000,623000,796000,1012000,644000
AAWW,2022-09-30,USD,539469000,1124554000,585085000,249975000,91758000,57237000,NA,132709000,2426000,-16097000,2426000,16097000,0,138000,90432000,90432000,78225000,18125000,16097000,60100000,60084000,91758000,184754000,60100000
ABBV,2022-09-30,USD,3716000000,14812000000,11096000000,5022000000,4603000000,3304000000,1654000000,7728000000,63000000,-560000000,63000000,560000000,-36000000,330000000,181000000,2000000000,4397000000,448000000,560000000,3952000000,3702000000,4957000000,6957000000,3949000000
ABC,2022-09-30,USD,1985559000,61174149000,59188590000,59188590000,454519000,1263462000,NA,1465452000,NA,-51523000,51523000,51523000,-18173000,-20656000,98318000,170562000,378401000,83664000,NA,298676000,-114932000,454519000,625081000,294737000
ABCB,2022-09-30,USD,103615000,260653000,157038000,NA,24858000,28551000,NA,42874000,NA,212981000,234302000,21321000,65324000,NA,4617000,4710000,121075000,28520000,21321000,92555000,54456000,142396000,147106000,92555000
ABEO,2022-09-30,USD,-4775000,48000,4690000,NA,-9380000,3890000,5490000,9380000,NA,-85000,72000,157000,-15000,72000,NA,800000,-9484000,NA,157000,-9380000,-9494000,-9380000,-8580000,-9484000
ABG,2022-09-30,USD,767800000,3865900000,3098100000,238500000,313600000,438200000,NA,438200000,NA,-38600000,40500000,38600000,4402000000,NA,NA,17100000,273100000,68100000,38600000,205000000,227900000,313600000,328800000,205000000
ABIO,2022-09-30,USD,-1528000,0,1528000,NA,-2552000,1528000,1024000,2552000,NA,222000,222000,222000,-3000,-3000,NA,4000,-2333000,NA,NA,-2555000,-2555000,-2552000,-2548000,-2333000
ABM,2022-07-31,USD,77600000,1950300000,1872700000,1696400000,88700000,158600000,NA,176300000,NA,-11100000,10300000,11100000,1961400000,800000,NA,17700000,78300000,21500000,11100000,56800000,48900000,89400000,107100000,56800000
ABMD,2022-09-30,USD,100083000,265921000,165838000,48880000,57994000,116958000,42089000,159047000,NA,80709000,80709000,80709000,265921000,80709000,6300000,6724000,138703000,32570000,NA,106133000,97759000,57994000,64718000,106133000
ABNB,2022-09-30,USD,2483261000,2884410000,401149000,401149000,1203481000,623600000,366182000,989834000,NA,52775000,58457000,5682000,2884410000,13643000,NA,12815000,1269899000,55611000,0,1214288000,1196447000,1203481000,1216296000,1214288000
ABOS,2022-09-30,USD,-3050000,12000,3062000,NA,-11371000,3062000,8309000,11371000,NA,663000,663000,663000,NA,-2000,10000,238000,-10710000,NA,NA,-10710000,-10710000,-11371000,-11133000,-10710000
ABR,2022-09-30,USD,101505000,171366000,69861000,38811,44339000,13225000,NA,57166000,NA,99326000,259778000,160452000,35034000,1486000,NA,2078000,72678000,-374000,163714000,10650000,73052000,233130000,235208000,73052000
ABSI,2022-09-30,USD,-9038000,2369000,11407000,NA,-27967000,11407000,15525000,30336000,NA,-279000,NA,279000,2004000,675000,2600000,3404000,-27571000,-312000,279000,-27259000,-27172000,-27292000,-23264000,-27259000
ABT,2022-09-30,USD,2392000000,10250000000,7858000000,4629000000,1770000000,2731000000,782000000,4011000000,55000000,-141000000,105000000,141000000,10391000000,93000000,317000000,498000000,1758000000,323000000,141000000,1435000000,696000000,1899000000,2397000000,1435000000
ABVC,2022-09-30,USD,31528,42269,10741,10741,-3715841,3216146,305483,3747369,48164,-126536,48164,126536,-177,-56461,6462,6462,-3700642,4222,126536,-3776524,-3894883,-3574106,-3639304,-3704864
AC,2022-09-30,USD,-1095000,2496000,3591000,3591000,-3129000,3591000,NA,5691000,2797000,-66000,2731000,66000,2562000,-17723000,NA,90000,-21412000,-4914000,66000,-16004000,-16498000,-21346000,-11428000,-16498000
ACAB,2022-09-30,USD,NA,0,NA,NA,-533796,0,NA,533796,NA,1429335,1429335,NA,NA,1473251,NA,NA,939455,287034,NA,652421,NA,939455,-533796,652421
ACAD,2022-09-30,USD,50470000,130714000,80244000,2136000,-30866000,78108000,81336000,159444000,NA,2295000,2295000,2295000,130714000,2156000,506000,506000,-26415000,768000,NA,-27183000,-27704000,-30866000,-23614000,-27183000
ACAH,2022-09-30,USD,1610430,1610430,1332467,1332467,-1332467,NA,NA,1332467,1610430,1610430,NA,1610430,NA,3583264,NA,NA,3861227,957180,NA,2904047,2904047,-1332467,1332467,2904047
ACAX,2022-08-31,USD,NA,0,NA,NA,-167454,167454,NA,167454,NA,NA,NA,NA,NA,289586,NA,NA,122132,NA,NA,122132,NA,122132,-457040,122132
ACCD,2022-08-31,USD,67929000,175286000,107357000,49830000,-45908000,45956000,26194000,83721000,NA,-236000,NA,236000,175286000,-130000,NA,11571000,-46274000,249000,NA,-46523000,-46523000,-45908000,-34337000,-46523000
ACCO,2022-09-30,USD,137400000,485600000,348200000,348200000,-63000000,93900000,NA,200400000,2600000,-12100000,2600000,12100000,485600000,7400000,9000000,9900000,-64600000,4100000,12100000,-68700000,-85000000,-52500000,-42600000,-68700000
ACDC,2022-09-30,USD,696730000,696730000,456826000,456826000,168950000,70954000,NA,527780000,NA,-16261000,NA,16261000,NA,-1170000,NA,NA,151519000,8157000,NA,143362000,NA,167780000,236538000,44930000
ACER,2022-09-30,USD,-2546846,10524,2557370,NA,-5239050,2557370,2681680,5239050,NA,19431,NA,19431,10524,NA,13985,0.05,-5006945,0,NA,-5006945,-5006945,-5239050,-5239049.95,-5006945
ACET,2022-09-30,USD,-7233000,NA,7215000,NA,-22985000,6415000,16570000,22985000,NA,-18000,1224000,18000,NA,-217000,NA,800000,-21996000,0,18000,-21996000,-21996000,-21978000,-21178000,-21996000
ACHC,2022-09-30,USD,175226000,648729000,473503000,378152000,-34688000,77276000,NA,209914000,NA,-18003000,-17183000,820000,666732000,NA,NA,29573000,95155000,24056000,820000,71099000,71099000,95975000,125548000,71099000
ACHR,2022-09-30,USD,-40800000,NA,40800000,NA,-93800000,40800000,47000000,93800000,NA,-100000,NA,100000,0,1300000,1000000,1400000,-91000000,0,0,-91000000,-92200000,-93800000,-89500000,-91000000
ACIW,2022-09-30,USD,123497000,295250000,171753000,171753000,3489000,63310000,35899000,131349000,2995000,-11341000,2995000,14336000,306591000,41545000,6044000,32140000,33693000,10576000,14336000,23117000,9658000,48029000,80169000,23117000
ACLS,2022-09-30,USD,103321000,229175000,125854000,125854000,53202000,29556000,20563000,50119000,1111000,-1333000,1111000,1333000,229175000,-7971000,NA,325000,45009000,4726000,1333000,40283000,36601000,53202000,46667000,40283000
ACLX,2022-09-30,USD,NA,0,NA,NA,-93875000,10402000,83473000,93875000,NA,NA,NA,NA,NA,26000,NA,136000,-92874000,NA,NA,-92874000,NA,-93875000,-93739000,-92874000
ACM,2022-09-30,USD,217300000,3426100000,3208800000,3208845000,184000000,40900000,NA,40900000,NA,-33200000,-31500000,1700000,3426100000,3635000,NA,9400000,138600000,33000000,1700000,115400000,84083000,184000000,149700000,105600000
ACMR,2022-09-30,USD,65967000,133709000,67742000,1157000,31636000,18653000,15678000,34331000,2016000,510000,929000,419000,133709000,7207000,NA,1549000,31474000,10470000,419000,27076000,-14283000,31893000,33442000,21004000
ACNB,2022-09-30,USD,17608000,32928000,15320000,NA,14902000,2311000,NA,2706000,NA,22520000,23382000,862000,5849000,NA,NA,395000,13049000,2725000,862000,10324000,-8840000,13911000,14306000,10324000
ACNT,2022-09-30,USD,11569000,99372000,98671000,88598000,1567000,9853000,NA,10073000,NA,-827000,NA,827000,100167000,118000,2171000,71000,858000,234000,827000,624000,624000,1685000,1756000,624000
ACON,2022-09-30,USD,1194,18222,17028,17028,-1633260,1184100,290966,1634454,NA,-2070,NA,2070,NA,NA,NA,47147,-1633033,NA,NA,-1633033,NA,-1630963,-1583816,-1633033
ACOR,2022-09-30,USD,-15648000,26045000,41693000,11005000,-4989000,22997000,1383000,32071000,17000,-7465000,17000,7465000,33510000,0,NA,7691000,-12438000,1416000,7465000,-13854000,-12502000,-4973000,2718000,-13854000
ACR,2022-09-30,USD,18787000,20936000,2149000,10099000,16638000,2128000,NA,2149000,NA,11126000,34065000,22939000,0,130000,NA,21000,5568000,0,22939000,5486000,1128000,28507000,28528000,5568000
ACRE,2022-09-30,USD,20134000,27271000,7137000,NA,18718000,1416000,NA,1416000,NA,27271000,45633000,18362000,NA,NA,0,-354000,649000,5000,18362000,644000,-366000,19011000,18657000,644000
ACRS,2022-09-30,USD,18095000,19018000,923000,8223000,-20874000,5813000,23656000,29488000,NA,NA,NA,NA,19018000,922000,200000,19000,-19952000,0,NA,-19952000,-20091000,-20874000,-20855000,-19952000
ACRV,2022-06-30,USD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6568500,NA,NA
ACRX,2022-09-30,USD,-5571000,260000,5831000,569000,-6632000,5262000,1308000,6570000,140000,-247000,140000,247000,507000,NA,200000,424000,-6739000,11000,247000,-6750000,-6750000,-6492000,-6068000,-6750000
ACT,2022-09-30,USD,355693000,275075000,-80618000,NA,355693000,NA,NA,30431000,-1380000,-12879000,NA,12879000,235058000,NA,NA,NA,244644000,53658000,12879000,190986000,56928000,257523000,257523000,190986000
ACTG,2022-09-30,USD,5948000,15878000,9930000,4977000,-11365000,17157000,156000,21045000,NA,-1072000,1221000,1072000,50033000,1221000,NA,3000000,28769000,679000,1072000,28396000,28090000,-11365000,32841000,28090000
ACU,2022-09-30,USD,15925000,49744000,33819000,33819000,953000,14972000,NA,14972000,8000,-714000,8000,722000,NA,-209000,667000,554000,30000,-34000,722000,64000,-840000,953000,1306000,64000
ACVA,2022-09-30,USD,67714000,105419000,37705000,58476000,-25090000,34701000,NA,130509000,NA,-235000,1936000,235000,NA,1701000,NA,3004000,-23389000,279000,235000,-23668000,-26482000,-23154000,-20150000,-23668000
ACXP,2022-09-30,USD,-1950551,NA,1950551,NA,-5492145,1950551,1591043,3541594,NA,NA,NA,NA,NA,NA,NA,NA,-3541594,0,NA,-5492145,-5492145,-5492145,-3541594,-3541594
ADC,2022-09-30,USD,67916000,110065000,42149000,8526000,57314000,6992000,NA,42149000,NA,-17149000,17149000,17149000,113031000,132000,NA,35157000,40145000,720000,17149000,55169000,32002000,57294000,92451000,39425000
ADEA,2022-09-30,USD,-302462000,210941000,513403000,31554000,-376216000,83958000,68366000,587157000,NA,-13198000,NA,13198000,210941000,460000,5388000,40808000,-388029000,900000,13198000,-389900000,-390410000,-376216000,-334023000,-388929000
ADER,2022-09-30,USD,-387096,NA,0,960608,-960608,NA,NA,960608,1251426,1251426,1251426,NA,-387096,685255,NA,NA,-275353,244171,NA,-519524,-519524,-960608,-960608,-519524
ADES,2022-09-30,USD,22537000,28354000,5817000,21575000,-2623000,1833000,NA,31060000,NA,-83000,NA,83000,28437000,315000,NA,1671000,-2391000,0,83000,-2391000,-2391000,-2308000,-637000,-2391000
ADIL,2022-09-30,USD,-2455786,75000,2530786,NA,-3187693,576649,1243556,3187693,3343,3343,3343,NA,75000,NA,NA,15262,-3109350,NA,NA,-3109350,-3109350,-3187693,-3172431,-3109350
ADM,2022-09-30,USD,1811000000,24683000000,22872000000,22872000000,965000000,818000000,NA,846000000,NA,-97000000,206000000,97000000,24977000000,67000000,NA,260000000,1224000000,193000000,97000000,1037000000,784000000,1321000000,1581000000,1031000000
ADMA,2022-09-30,USD,9656641,41090137,31433496,31433496,-9316733,12893139,1041947,18973374,7236,-5580366,7236,5580366,41090137,-9641,NA,1861992,-14899504,NA,5580366,-14899504,-14899504,-9316733,-7454741,-14899504
ADMP,2022-09-30,USD,-141902,1505683,1647585,1647585,-4628017,2508176,1977939,4874115,NA,298118,298118,298118,0,298118,399000,398985,-4271209,NA,0,-4271209,-4398901,-4628017,-3574106,-4398901
ADN,2022-09-30,USD,60000,2399000,2339000,2339000,-11092000,8203000,2547000,11446000,NA,0,NA,NA,2366000,1000,300000,696000,-12035000,-567000,NA,-11468000,-12649000,-11092000,-10396000,-11468000
ADP,2022-09-30,USD,888000000,4162900000,3274900000,2393600000,-1986700000,800300000,NA,2874700000,29700000,-51200000,170700000,51200000,4214100000,39500000,NA,92300000,1010000000,231000000,51200000,779000000,48600000,1061200000,1153500000,779000000
ADPT,2022-09-30,USD,-10426000,47177000,57603000,14907000,-45431000,42268000,35658000,78354000,NA,-653000,765000,653000,47830000,765000,4955000,428000,-45319000,NA,653000,-45431000,-45452000,-45431000,-45003000,-45281000
ADRA,2022-09-30,USD,-634642,NA,634642,634642,-634642,NA,NA,634642,512825,512825,512825,NA,NA,413625,NA,NA,-221017,69477,NA,-290494,-290494,-634642,-634642,-290494
ADT,2022-09-30,USD,746819000,1603146000,856327000,494321000,67341000,480427000,NA,856327000,NA,-945000,30084000,945000,1604091000,-156116000,NA,226515000,-120453000,1534000,945000,-120393000,-117914000,67341000,107007000,-121987000
ADTH,2022-09-30,USD,225000,37584000,37359000,19581000,-1808000,15856000,3955000,21801000,NA,114000,97000,-114000,37584000,-5000,51000,1922000,6820000,1095000,-114000,5725000,5725000,-1808000,8628000,5725000
ADTN,2022-09-30,USD,103027000,337933000,349931000,237682000,-48018000,74880000,59196000,171445000,347000,-1303000,347000,1303000,339236000,2494000,7100000,20400000,-46246000,-4312000,1303000,-44859000,-68451000,-44943000,-24543000,-41934000
ADTX,2022-09-30,USD,89441,323125,233684,233684,-5392164,3911065,1570540,9329670,10084,-2175483,-1506013,669470,NA,NA,99981,126730,-7557563,NA,2175483,-7557563,-7557563,-5392164,-5265434,-7557563
ADUS,2022-09-30,USD,75185000,238282000,222979000,165310000,17516000,54228000,NA,57669000,83000,-2389000,83000,2472000,240495000,NA,NA,3441000,15127000,3584000,2472000,11543000,11543000,17599000,21040000,11543000
ADV,2022-09-30,USD,46842000,1051095000,1004253000,908523000,46842000,37945000,NA,95730000,NA,-23557000,NA,23557000,1051095000,1100000,NA,57785000,22217000,1158000,23557000,23227000,7443000,45774000,103559000,21059000
ADVM,2022-09-30,USD,-21288000,NA,17188000,NA,-41037000,17188000,23849000,41037000,NA,NA,NA,NA,0,796000,NA,1788000,-40114000,17000,NA,-40131000,-40288000,-41037000,-39249000,-40131000
AE,2022-09-30,USD,846965000,852901000,5936000,478373000,2993000,4630000,NA,5936000,NA,-119000,338000,119000,-1754003000,338000,NA,1306000,3212000,1022000,119000,2190000,2190000,3331000,4637000,2190000
AEAE,2022-09-30,USD,753123,1031530,278407,NA,429716,278407,NA,323407,1031531,1031530,1031530,NA,NA,1266530,NA,NA,943123,22939,NA,920184,920184,429716,-323407,920184
AEE,2022-09-30,USD,2073000000,2306000000,233000000,83000000,599000000,144000000,NA,1707000000,NA,-120000000,6000000,126000000,2306000000,58000000,NA,18000000,530000000,78000000,126000000,453000000,452000000,599000000,674000000,452000000
AEHA,2022-09-30,USD,NA,0,NA,NA,-1369604,1369604,NA,1369604,NA,351771,351771,NA,NA,351771,NA,NA,-1017833,NA,NA,-1017833,NA,-1017833,-1369604,-1017833
AEHR,2022-08-31,USD,4481000,10671000,6190000,6190000,458000,2525000,1498000,4023000,NA,121000,NA,121000,10671000,24000,NA,89000,603000,14000,NA,589000,544000,458000,547000,589000
AEI,2022-09-30,USD,-91464,708875,2140730,813369,-2071012,1979548,NA,2792917,NA,0,NA,0,708875,346591,184417,161182,-11865285,-153159,0,-13081391,-11414242,-2071012,-11704103,-11712126
AEIS,2022-09-30,USD,191218000,514432000,388942000,325056000,77572000,56716000,49760000,113646000,NA,-1842000,NA,1842000,516274000,8940000,8507000,7049000,85806000,11639000,2029000,74864000,65004000,77572000,94697000,74167000
AEL,2022-09-30,USD,180887000,491853000,310966000,NA,121355000,46185000,NA,59532000,NA,-10317000,405057000,10317000,2839000,NA,NA,2581000,398814000,86214000,10317000,312601000,-513820000,409131000,411712000,312600000
AEMD,2022-09-30,USD,-2803560,NA,2661439,NA,-3665309,1548484,852464,3665309,NA,NA,NA,NA,-142121,NA,NA,83.19,-3807430,NA,NA,-4778264,-3807430,-3665309,83.19,-3809498
AEP,2022-09-30,USD,5163600000,5526100000,362500000,2111900000,930100000,384800000,NA,4596000000,NA,-360700000,NA,360700000,5756700000,4800000,NA,268300000,667600000,-16100000,360700000,683300000,607200000,930100000,1296600000,683700000
AERC,2022-09-30,USD,27551,58385,30834,30834,-5046356,4440645,633262,5073907,NA,NA,NA,NA,11489000,NA,43252,115299,6442644,-206849,NA,6649493,13092137,-5046356,6557943,6649493
AES,2022-09-30,USD,892000000,3627000000,2735000000,2735000000,781000000,51000000,NA,100000000,100000000,-276000000,168000000,276000000,8000000,4000000,NA,266000000,566000000,145000000,277000000,421000000,520000000,842000000,1108000000,421000000
AEY,2022-09-30,USD,8543000,25890000,21847000,17383000,1792000,4464000,NA,4153000,NA,-36000,NA,36000,25926000,-273000,NA,164000,1483000,0,36000,1483000,1483000,1519000,1683000,1483000
AEYE,2022-09-30,USD,5777000,7700000,1923000,1923000,-2282000,6517000,1542000,8059000,NA,-11000,NA,11000,0,NA,NA,26000,-2283000,NA,0,-2283000,-2283000,-2282000,-2256000,-2283000
AFAC,2022-09-30,USD,NA,NA,NA,NA,-424347,265031,NA,265031,NA,274,274,NA,NA,944417,NA,NA,679386,159316,NA,222580,222580,-424347,-424347,520070
AFAQ,2022-09-30,USD,1267915,1017915,-250000,239672,-289945,NA,NA,239672,0,NA,NA,NA,NA,1240200,NA,NA,1971170,221839,NA,1749331,2767246,-289945,-289945,1749331
AFBI,2022-09-30,USD,2255000,7932000,5677000,NA,685000,1570000,NA,1570000,NA,7526000,8224000,698000,593000,NA,NA,-329000,2442000,581000,698000,1861000,6000,3140000,3140000,1861000
AFCG,2022-09-30,USD,5802846,15955449,10152603,4734978,488271,1050932,NA,5314575,18141495,-1644088,19785583,1644088,18141495,-637279,NA,NA,11647683,167164,1644088,11480519,11480519,13291771,13291771,11480519
AFG,2022-09-30,USD,1537000000,1984000000,447000000,NA,210000000,445000000,NA,519000000,-4000000,-19000000,19000000,19000000,NA,NA,NA,2000000,210000000,45000000,19000000,165000000,-89000000,229000000,231000000,165000000
AFIB,2022-09-30,USD,-11882000,6179000,18061000,6951000,-20461000,9679000,5946000,33784000,NA,-1109000,241000,1109000,7288000,NA,1500000,100000,-20425000,0,1109000,-20425000,-20737000,-19316000,-19216000,-20425000
AFL,2022-09-30,USD,-916000000,4820000000,5736000000,NA,880000000,783000000,NA,1377000000,NA,-59000000,59000000,59000000,3160000000,1000000,NA,NA,1103000000,-493000000,59000000,1596000000,-1367000000,1162000000,1162000000,1596000000
AFRM,2022-09-30,USD,-34871000,361624000,396495000,199320000,-287467000,324845000,NA,332245000,NA,81072000,106138000,25066000,203452000,36018000,13500000,7400000,-251449000,-180000,25066000,-251269000,-278343000,-287467000,-218983000,-251269000
AGCO,2022-09-30,USD,738900000,6240900000,2685900000,2382700000,332100000,287500000,104700000,406800000,NA,-2300000,NA,2300000,6243200000,-33100000,50600000,14700000,312100000,74200000,NA,237900000,146600000,332100000,346800000,237900000
AGEN,2022-09-30,USD,22464000,22772000,308000,46319000,-41645000,18105000,46011000,64116000,NA,-15607000,NA,15607000,22772000,537000,NA,1707000,-56715000,NA,NA,-41108000,-55727000,-41645000,-39938000,-54222000
AGFS,2022-09-30,USD,32212000,44465000,39795000,15552000,4919000,13537000,3150000,27393000,NA,-539000,NA,539000,44465000,-35000,800000,10606000,-3603000,535000,539000,-4614000,-9436000,4919000,7542000,-4138000
AGFY,2022-09-30,USD,-4116000,7019000,11135000,11135000,-31547000,24126000,1747000,27431000,NA,-3979000,-3587000,392000,-17933000,-14720000,409000,409000,-46592000,-324000,18325000,-46265400,-46268000,-31547000,-45791000,-46268000
AGIL,2022-09-30,USD,14878000,43395000,28517000,28517000,-11657000,13097000,NA,26535000,NA,-3143000,-6745000,-3602000,31587000,-154000,200000,1533000,-14951000,135000,11708000,-15089000,-15710000,-11657000,-10275000,-15086000
AGIO,2022-09-30,USD,-20681000,8959000,29640000,517000,-91090000,29123000,64966000,89646000,3818000,3818000,3818000,3818000,7959000,1082000,NA,1981000,-81747000,0,NA,-81747000,-86328000,-91090000,-89109000,-81747000
AGLE,2022-09-30,USD,-6778000,174000,6952000,NA,-18755000,6952000,11977000,18929000,288000,288000,288000,288000,174000,24000,NA,401000,-18443000,-209000,NA,-18234000,-18198000,-18755000,-17754000,-18234000
AGM,2022-09-30,USD,52383000,71428000,19045000,123294000,45464000,6919000,NA,6919000,74695000,67853000,193790000,125937000,4192000,NA,NA,2456000,52049000,10631000,125937000,41418000,27313000,177986000,173651000,41418000
AGNC,2022-09-30,USD,1076000000,1095000000,19000000,11000000,1057000000,8000000,NA,19000000,NA,177000000,373000000,196000000,918000000,-824000000,NA,-41844078,-692000000,NA,196000000,222000000,-1038000000,1057000000,-71844078,-666000000
AGR,2022-09-30,USD,1838000000,1838000000,279000000,1293000000,112000000,2000000,NA,45000000,NA,-76000000,74000000,76000000,1761000000,18000000,NA,279000000,55000000,-50000000,76000000,106000000,114000000,131000000,410000000,105000000
AGRX,2022-09-30,USD,1577000,3002000,1425000,1425000,-18708000,8375000,788000,20285000,46000,-1004000,46000,1004000,3002000,NA,198000,662000,-19666000,0,1004000,-19666000,-19666000,-18662000,-18000000,-19666000
AGS,2022-09-30,USD,42211000,67968000,25757000,11857000,9031000,16955000,9702000,69228000,305000,-10291000,9986000,10291000,78259000,-445000,10200000,8800000,-1400000,-1876000,10291000,476000,499000,8891000,17691000,476000
AGX,2022-07-31,USD,24387000,118110000,93723000,93723000,13403000,10984000,NA,11217000,NA,NA,NA,NA,118110000,505000,747000,233000,13908000,9686000,NA,4222000,3535000,13403000,13636000,4222000
AGYS,2022-09-30,USD,29365000,47741000,45258000,18377000,2927000,26438000,12577000,39458000,380000,-1000,380000,1000,47742000,112000,461000,443000,3418000,-158000,1000,3576000,3320000,3419000,3862000,3576000
AHCO,2022-09-30,USD,30275000,728310000,698035000,646714000,52949000,40681000,NA,51321000,NA,-28521000,NA,28521000,756495000,-257000,82400000,10640000,21722000,5600000,28521000,17207000,23879000,50243000,60883000,16122000
AHH,2022-09-30,USD,38314000,122767000,84453000,78999000,50586000,3854000,NA,-12550000,NA,-10345000,3490000,10345000,67710000,118000,13157000,17527000,29058000,181000,12468000,42369000,33987000,39403000,56930000,28877000
AHT,2022-09-30,USD,61967000,326767000,264800000,216256000,33291000,-884000,NA,48544000,1576000,0,61023000,61023000,326778000,241000,NA,49428000,-17435000,4657000,62401000,-22323000,-22092000,33291000,93016000,-22092000
AIG,2022-09-30,USD,-963000000,14602000000,15565000000,NA,-3210000000,2093000000,NA,2240000000,-151000000,-282000000,282000000,282000000,7740000000,NA,NA,1220000000,3515000000,806000000,282000000,2709000000,-5468000000,3797000000,5010000000,2709000000
AIKI,2022-09-30,USD,-4249000,266000,4515000,NA,-5101000,4515000,61000,5101000,NA,187000,187000,NA,79000,-1138000,NA,23000,-6239000,NA,NA,-5910000,-5910000,-5101000,-5078000,-6239000
AIMC,2022-09-30,USD,168700000,466300000,406400000,297600000,58500000,88300000,15000000,110200000,NA,-300000,NA,300000,466300000,700000,9500000,13600000,45500000,11900000,400000,33600000,-34900000,58500000,59400000,33600000
AIMD,2022-09-30,USD,581742,1757774,1176032,1176032,-7822271,6569227,1834786,8404013,NA,-37840,NA,37840,243222,NA,NA,2398018,-7821756,NA,8472,-7822271,-7879430,-7822271,-5413917,-7821756
AIN,2022-09-30,USD,100493000,262138000,196933000,160070000,53644000,36873000,9934000,36863000,NA,-3794000,3794000,3794000,265932000,6918000,15588000,17034000,7511000,-3183000,NA,10823000,4077000,53644000,28339000,10694000
AINC,2022-09-30,USD,123606000,161420000,37814000,41127000,2795000,8390000,NA,73627000,76000,-3185000,76000,3185000,164608000,-22000,9787000,8096000,-372000,617000,3185000,-1103000,-1203000,2795000,10909000,-989000
AIP,2022-09-30,USD,11670000,12498000,9430000,928000,-7754000,8402000,11022000,19424000,NA,-100000,NA,100000,12598000,318000,NA,100000,-7436000,248000,100000,-7684000,-7705000,-7754000,-7236000,-7684000
AIR,2022-08-31,USD,81900000,445200000,50100000,364400000,31800000,50100000,NA,50100000,100000,-1100000,100000,1100000,446300000,200000,NA,6800000,30800000,8100000,1100000,22300000,19600000,31900000,38700000,22700000
AIRG,2022-09-30,USD,7443000,19198000,11755000,81000,-1264000,5806000,2901000,8707000,NA,26000,26000,NA,19198000,-17000,200000,800000,-1351000,-52000,NA,-1195000,-1299000,-1264000,-464000,-1299000
AIRI,2022-09-30,USD,2242000,13278000,11036000,11036000,169000,NA,NA,2073000,NA,-118000,NA,118000,NA,NA,598000,1513000,-142000,NA,118000,-142000,-142000,169000,1489000,-142000
AIRS,2022-09-30,USD,-2351000,37134000,39485000,14888000,-1375000,23397000,NA,24585000,NA,-1770000,NA,1770000,38904000,NA,800000,1200000,-3145000,4232000,1770000,-7377000,-7313000,-1375000,-175000,-7377000
AIRT,2022-09-30,USD,47510000,60688000,13178000,1003000,179000,10664000,NA,60509000,NA,-1996000,NA,1996000,1000,-357000,NA,1026000,-1804000,-572000,1996000,-1336000,-864000,192000,1218000,-1232000
AIT,2022-09-30,USD,306783000,1055697000,963578000,755622000,106532000,200251000,NA,211950000,NA,-6480000,7535000,6480000,1062177000,-1008000,5481000,7705000,99044000,22164000,NA,76880000,75245000,106532000,114237000,76880000
AIV,2022-09-30,USD,-50264000,47683000,97947000,17455000,-66019000,10809000,NA,113702000,8423000,-9719000,5768000,9719000,-15113000,-255000,NA,85438000,11504000,-17563000,9719000,34173000,29472000,21223000,106661000,29067000
