ticker,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
STAF,2022-09-30,USD,12325000,66120000,53795000,53795000,495000,11043000,NA,11830000,NA,-1127000,NA,1127000,67129000,717000,NA,787000,1094000,62000,1127000,1032000,-1697000,495000,3008000,1032000
STAG,2022-09-30,USD,54095000,166305000,112210000,30087000,-28606000,10884000,NA,82123000,NA,-21155000,26000,21155000,-838000,32356000,NA,69456000,64718000,NA,21993000,-17405000,102098000,-28606000,40850000,63330000
STBA,2022-09-30,USD,44118000,96060000,51942000,NA,31631000,12487000,NA,12487000,NA,83798000,89835000,6037000,14760000,NA,NA,NA,46427000,9178000,6037000,37249000,-10547000,52464000,52464000,37249000
STC,2022-09-30,USD,456303000,716399000,260096000,NA,10511000,195057000,NA,445792000,NA,-4553000,4553000,4553000,717618000,NA,NA,14067000,40217000,10783000,4553000,34728000,4828000,44770000,58837000,29434000
STEL,2022-09-30,USD,15116000,45449000,30333000,NA,-7754000,22705000,NA,22870000,-68000,43012000,44673000,1661000,3449000,-5981000,842000,165000,16128000,3381000,1661000,12747000,-10257000,17789000,17954000,12747000
STEM,2022-09-30,USD,9127000,99501000,90374000,90374000,-32599000,31200000,10526000,41726000,NA,-2520000,NA,2520000,99501000,863000,3800000,6500000,-34260000,19000,2520000,-34275000,-35265000,-31740000,-25240000,-34279000
STEP,2022-09-30,USD,-203128000,-158495000,44633000,-141667000,-247761000,33733000,NA,44633000,356000,-817000,356000,817000,-118000,-634000,NA,10900000,-36643000,-7422000,817000,-67065000,-29141000,-35826000,-24926000,-29221000
STER,2022-09-30,USD,226524000,391050000,164526000,106422000,19988000,42411000,13715000,58455000,NA,-7764000,-7170000,594000,398598000,560000,1100000,15500000,12784000,3481000,594000,9303000,4513000,19988000,28878000,9303000
STIM,2022-09-30,USD,12928000,15507000,22004000,3570000,-7454000,18034000,2348000,20382000,NA,-1061000,NA,1061000,16498000,906000,NA,400000,-7609000,NA,1061000,-6548000,-6548000,-7454000,-7054000,-7609000
STKS,2022-09-30,USD,60959000,73020000,12061000,60417000,491000,6447000,NA,66864000,NA,-435000,-35000,400000,NA,NA,2900000,2930000,161000,-321000,400000,377000,395000,561000,3491000,482000
