,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
2236,0.0005884080450382366,7.5,0.0,0.0,0.56,3.164,-0.364,-0.205,0.0075,0.0,0.003907545752664929,0.008231755078683099,0.0,0.115
2237,0.00030049853317551904,4.596,0.0,0.0,-2.288,1.622,-0.797,-2.728,-0.297,-0.369,0.0029083831797988217,0.007067329052338091,0.0,2.756
2238,3.6176079402783055e-05,1.566,0.0,0.0,-1.337,0.002,0.0,-920.57,-0.342,-0.619,0.0028215403516111894,0.006978314768373581,0.0,0.262
2239,0.00019776158925046878,3.994,0.0,0.0,0.15,3.128,0.0483,0.227,0.0498,0.0369,0.0030537729275114103,0.007509948220567056,-0.734,0.238
2240,4.612664360278207e-06,0.864,0.0,0.0,-0.092,1.929,-0.0416,-0.0567,-0.0468,-0.0887,0.002855933068520174,0.007003094914793422,0.0,0.685
2241,5.64272158949533e-05,11.02,0.148,0.84,1.81,0.151,0.0,-9.05,-0.0158,-0.113,0.002827078445287045,0.007482487548488502,-0.906,-0.682
2242,0.009856810726225853,17.11,0.0177,1.45,2.56,23.83,0.109,0.15,0.0463,0.154,0.013431316156389645,0.019580087755276768,0.038,0.03
2243,9.001225726425012e-05,1.333,0.0,0.0,0.15,0.52,-0.116,-0.886,-0.156,-0.0464,0.0029842160873997615,0.007246434384345762,0.0,0.048
2244,0.007685865758857893,868.68,0.0,0.0,1.81,823.25,-0.0029,0.0025,0.0004,0.0047,0.02146972233952946,0.0420367978235499,-0.768,0.141
2245,0.002371108130976259,62.39,0.0112,0.88,7.53,56.67,0.133,0.214,0.0548,0.125,0.008179658412174001,0.013921006935426309,-0.962,0.286
2246,0.004499523925521125,27.07,0.011,2.76,6.44,18.82,0.345,0.456,0.127,0.234,0.003993715810345529,0.010281761379904154,0.039,0.062
2247,8.943727434734025e-05,0.904,0.0,0.0,0.33,1.234,-0.293,-0.28,-0.0829,-0.216,0.0033041476421397683,0.007542608368003459,0.0,1.007
