,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
336,298040000,2.826,0.0,0.0,-1.143,0.045,0.0,-29.31,-0.192,-0.401,1053000,1144000,0.0,-0.807
337,31324600,0.158,0.0,0.0,-1.776,1.041,-1.411,-0.816,-0.204,-2.509,123094000,37775000,0.0,0.067
338,16420602000,66.85,0.0251,2.72,5.6,30.48,0.184,0.221,0.0278,0.0894,4201662000,1808845000,0.381,0.271
339,195839000,0.951,0.0,0.0,-0.713,0.016,0.0,-45.6,-0.311,-0.64,377000,400000,0.0,-0.062
340,96905000,0.974,0.0,0.0,-0.174,0.0,0.0,0.0,-0.113,-0.183,0,0,0.0,0.0
341,7053937000,28.71,0.0147,1.52,3.56,50.99,0.0712,0.114,0.0584,0.122,3340328000,1151083000,0.157,0.014
342,451623000,1.972,0.0,0.0,-3.645,0.705,0.0,-4.208,-0.456,-0.994,70900000,-229598000,0.0,-0.17
343,2118923000,9.7,0.0,0.0,1.17,6.92,-0.178,-0.162,-0.0534,-0.119,315569000,205860000,0.0,0.181
344,1097004000,138.36,0.0148,8.0,19.36,100.79,0.192,0.214,0.0895,0.143,180944000,69372000,0.079,0.041
345,293505000,7.37,0.0,0.0,-0.535,15.43,-0.0555,-0.0865,-0.0441,-0.112,492793000,54902000,-0.927,0.175
346,1945979000,1.304,0.0,0.0,1.38,21.62,0.0652,0.216,0.0397,0.824,9799601000,6708720000,-0.677,-0.07
347,59741155000,24.03,0.0063,0.47,2.15,9.43,0.228,0.281,0.0522,0.0936,7357000000,6486000000,-0.329,-0.139
348,7073300,2.455,0.0,0.0,-0.31,0.0,0.0,0.0,-4.993,-8.47,0,0,0.0,0.0
349,203243000,1.046,0.0,0.0,-5.74,0.0,0.0,0.0,-0.237,-0.395,0,0,0.0,0.0
350,2709039000,30.53,0.0347,1.14,2.67,9.01,0.313,0.425,0.0106,0.0851,677409000,737954000,-0.214,-0.088
351,78920000,17.06,0.0463,1.055,2.2,8.35,0.264,0.318,0.0074,0.0941,29340000,28878000,0.074,0.118
352,44371400,3.488,0.0129,0.0,0.03,9.07,-0.105,0.0755,0.018,-0.232,1256435000,242431000,0.066,-0.038
353,42672700,0.172,0.0,0.0,-0.599,0.783,-0.852,-0.764,-0.488,-6.7,28759000,10007000,0.0,0.398
354,21675500,0.157,0.0,0.0,-0.919,0.087,0.0,-11.11,-0.866,-2.53,2089600,1631500,0.0,-0.823
355,43611300,0.058,0.0,0.0,0.01,0.172,-0.154,-0.109,-0.0993,-0.391,28178000,11943000,0.0,-0.379
